SIM Audit-2 :: ap-dc-b1rs1-qradar-console,['IBM QRadar Security Analytics Self Monitoring']
System Notification-2 :: ap-dc-b1rs1-qradar-console,['IBM QRadar Security Analytics Self Monitoring']
AD Infra Zone DMZ DMZSVW8I00  WinCollect,"['IBM QRadar Custom Properties for Microsoft Windows', 'IBM Security ISO 27001 Content', 'IBM QRadar HIPAA Content Extension', 'IBM Security GPG13 Content', 'IBM QRadar Compliance Content Extension', 'IBM QRadar Content Extension for Sysmon', 'IBM QRadar Ransomware Content Extension', 'QRadar Cloud Visibility']"
AD Espace Client DMZ DMZSVW3P04 WinCollect,"['IBM QRadar Custom Properties for Microsoft Windows', 'IBM Security ISO 27001 Content', 'IBM QRadar HIPAA Content Extension', 'IBM Security GPG13 Content', 'IBM QRadar Compliance Content Extension', 'IBM QRadar Content Extension for Sysmon', 'IBM QRadar Ransomware Content Extension', 'QRadar Cloud Visibility']"
AD Infra Zone DMZ DMZSVW8I01  WinCollect,"['IBM QRadar Custom Properties for Microsoft Windows', 'IBM Security ISO 27001 Content', 'IBM QRadar HIPAA Content Extension', 'IBM Security GPG13 Content', 'IBM QRadar Compliance Content Extension', 'IBM QRadar Content Extension for Sysmon', 'IBM QRadar Ransomware Content Extension', 'QRadar Cloud Visibility']"
Checkpoint @ 10.202.22.190,"['SmartView for QRadar', 'IBM Cloud Discovery App for QRadar', 'IBM QRadar Custom Properties for Checkpoint', 'Onapsis Security Platform for SAP']"
PaSeries @ fw-dc-b2rs5-hintra.tech.intra.groupama.fr,"['Palo Alto Networks App for QRadar', 'IBM QRadar Custom Properties for Palo Alto PA Series', 'IBM Cloud Discovery App for QRadar']"
PaSeries @ fw-dc-b1rs1-PPhintra.tech.intra.groupama.fr,"['Palo Alto Networks App for QRadar', 'IBM QRadar Custom Properties for Palo Alto PA Series', 'IBM Cloud Discovery App for QRadar']"
PaSeries @ fw-dc-b1rs1-hintra.tech.intra.groupama.fr,"['Palo Alto Networks App for QRadar', 'IBM QRadar Custom Properties for Palo Alto PA Series', 'IBM Cloud Discovery App for QRadar']"
Checkpoint-WAN @ 10.202.22.36,"['SmartView for QRadar', 'IBM Cloud Discovery App for QRadar', 'IBM QRadar Custom Properties for Checkpoint', 'Onapsis Security Platform for SAP']"
Checkpoint Internet FW@ 10.202.22.3,"['SmartView for QRadar', 'IBM Cloud Discovery App for QRadar', 'IBM QRadar Custom Properties for Checkpoint', 'Onapsis Security Platform for SAP']"
Checkpoint Partenaires @ 10.202.22.5,"['SmartView for QRadar', 'IBM Cloud Discovery App for QRadar', 'IBM QRadar Custom Properties for Checkpoint', 'Onapsis Security Platform for SAP']"
PaSeries @ fw-m2-psi-hintra.tech.intra.groupama.fr,"['Palo Alto Networks App for QRadar', 'IBM QRadar Custom Properties for Palo Alto PA Series', 'IBM Cloud Discovery App for QRadar']"
BluecoatProxy_GRP-A @ 10.202.22.178,"['IBM QRadar Security Threat Monitoring Content Extension', 'IBM QRadar Custom Properties for Blue Coat', 'IBM QRadar DNS Analyzer', 'IBM Cloud Discovery App for QRadar']"
BluecoatProxy_GRP-B @ 10.202.22.179,"['IBM QRadar Security Threat Monitoring Content Extension', 'IBM QRadar Custom Properties for Blue Coat', 'IBM QRadar DNS Analyzer', 'IBM Cloud Discovery App for QRadar']"
AD OBK DMZ @ obzsvwci01,"['IBM QRadar Custom Properties for Microsoft Windows', 'IBM Security ISO 27001 Content', 'IBM QRadar HIPAA Content Extension', 'IBM Security GPG13 Content', 'IBM QRadar Compliance Content Extension', 'IBM QRadar Content Extension for Sysmon', 'IBM QRadar Ransomware Content Extension', 'QRadar Cloud Visibility']"
